profession,density_min,density_max,density_mean,density_2019
nurses,116.96857684244645,168.72129799705476,141.59079279955228,168.72129799705476
doctors,37.058340381039194,50.001390290538005,43.1782314077545,50.001390290538005
allied_health,16.42095154996722,28.9671122684144,22.118494796320338,28.9671122684144
pharmacists,12.234979856153682,22.41366432061953,16.820266078542307,22.41366432061953
dentists,7.558512206951516,11.051446747238094,9.215894271291301,11.051446747238094
